Zeta,1350
Ford,Rojo,300000,Sin fecha
VW,Verde,124000,Sin fecha
Chevrolet,Azul,1,Sin fecha
AlfaRomeo,Azul,2,Sin fecha
Fiat,Azul,120000,06/Sep/22
Zeta,1350
Ford,Rojo,300000,Sin fecha
VW,Verde,124000,Sin fecha
Chevrolet,Azul,1,Sin fecha
AlfaRomeo,Azul,2,Sin fecha
Fiat,Azul,120000,06/Sep/22
Zeta,1350
Ford,Rojo,300000,Sin fecha
VW,Verde,124000,Sin fecha
Chevrolet,Azul,1,Sin fecha
AlfaRomeo,Azul,2,Sin fecha
Fiat,Azul,120000,06/Sep/22
Zeta,1350
Ford,Rojo,300000,Sin fecha
VW,Verde,124000,Sin fecha
Chevrolet,Azul,1,Sin fecha
AlfaRomeo,Azul,2,Sin fecha
Fiat,Azul,120000,06/Sep/22
Zeta,1350
Ford,Rojo,300000,Sin fecha
VW,Verde,124000,Sin fecha
Chevrolet,Azul,1,Sin fecha
AlfaRomeo,Azul,2,Sin fecha
Fiat,Azul,120000,06/Sep/22
Zeta,1350
Ford,Rojo,300000,Sin fecha
VW,Verde,124000,Sin fecha
Chevrolet,Azul,1,Sin fecha
AlfaRomeo,Azul,2,Sin fecha
Fiat,Azul,120000,08/Sep/22
Zeta,1350
Ford,Rojo,300000,Sin fecha
VW,Verde,124000,Sin fecha
Chevrolet,Azul,1,Sin fecha
AlfaRomeo,Azul,2,Sin fecha
Fiat,Azul,120000,13/Sep/22
Zeta,1350
Ford,Rojo,300000,Sin fecha
VW,Verde,124000,Sin fecha
Chevrolet,Azul,1,Sin fecha
AlfaRomeo,Azul,2,Sin fecha
Fiat,Azul,120000,13/Sep/22
